,date,predict,actual,difference
0,2022-05-26,29070.0,29186.9,-116.90000000000146
1,2022-05-27,28970.10512991802,28580.0,390.1051299180217
2,2022-05-28,28707.510872268176,29020.0,-312.4891277318238
3,2022-05-29,28931.56518772057,29450.4,-518.8348122794305
4,2022-05-30,29302.7279383832,31711.7,-2408.9720616168015
5,2022-05-31,31233.16498452844,31780.9,-547.7350154715605
6,2022-06-01,31797.861554484647,29790.0,2007.861554484647
7,2022-06-02,30229.52430579501,30427.0,-197.47569420498985
8,2022-06-03,30475.550097800675,29676.4,799.1500978006734
9,2022-06-04,29829.81548581713,29850.0,-20.18451418287077
10,2022-06-05,29786.25381176291,29907.6,-121.34618823709025
11,2022-06-06,29887.183862076447,31098.6,-1211.416137923552
12,2022-06-08,30801.27361960661,30190.8,610.4736196066115
13,2022-06-09,30408.63692062996,30075.3,333.33692062996124
14,2022-06-10,30190.733601603555,29054.9,1135.8336016035537
15,2022-06-11,29350.360828133227,28380.2,970.1608281332265
16,2022-06-12,28608.83161919716,26569.6,2039.2316191971622
17,2022-06-13,27086.17737195117,22460.1,4626.077371951171
18,2022-06-14,23581.875992698355,22111.0,1470.8759926983548
19,2022-06-15,22211.95798973285,22559.6,-347.64201026714727
20,2022-06-16,22172.423034970452,,
